No,Ecosystem,Package Name,Package Version,File Name,Line No,Issue,Note,,,,,,,,,,,,,,,,,,
1,pypi,j3y5r,,setup,,,clean,,,,,,,,,,,,,,,,,,
,,,,__init__,22-Mar,Obfuscated with BlankOBF,https://github.com/Blank-c/BlankOBF,,,,,,,,,,,,,,,,,,
2,pypi,piplibraryscraper,,,,,,,,,,,,,,,,,,,,,,,
3,pypi,toolcontrol,,setup.py,7,subprocess.Popen with powershell,Arbitrary command execution,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,Base64-encoded commands,Obfuscation to bypass scanners,,,,,,,,,,,,,,,,,,
,,,,setup,7,Hidden window (CREATE_NO_WINDOW),Stealthy execution,,,,,,,,,,,,,,,,,,
4,,narratives-from-tweets,,setup,5,CustomInstall class enables arbitrary code execution,,,,,,,,,,,,,,,,,,,
,,,,setup,8-Jun,subprocess.run() in run() enables silent post-install actions,,,,,,,,,,,,,,,,,,,
,,,,__init__,,,clean,,,,,,,,,,,,,,,,,,
,,,,my_module,13-Jun,Unauthorized collection of system information,,,,,,,,,,,,,,,,,,,
,,,,my_module,24,Data exfiltration to external server,,,,,,,,,,,,,,,,,,,
5,,py-crd,,setup,18-Nov,Arbitrary code execution during installation by overriding run() method,,,,,,,,,,,,,,,,,,,
,,,,setup,16,Obfuscated and encrypted payload execution. Fernet is used to decrypt and finally executed.,,,,,,,,,,,,,,,,,,,
,,,,setup,13,"Conditional execution on windows systems by check os.name == ""nt"" . Often targets windows specific vulnerabilities.",,,,,,,,,,,,,,,,,,,
,,,,setup,"6,7,24,25","Suspicious package metadata like description, author and author_email",,,,,,,,,,,,,,,,,,,
,,,,setup,33,"Dependency on potentially malicious modules. ‘requests’ is well known, but ‘fernet’ is comparatively non-standard.",,,,,,,,,,,,,,,,,,,
,,,,setup,16,Executing dynamically generated code with exec() . Commonly used for malicious script execution.,,,,,,,,,,,,,,,,,,,
6,,tprandomloadpaypal,,setup,8,subprocess.Popen with PowerShell,,,,,,,,,,,,,,,,,,,
,,,,setup,8,Base64-encoded Powershell command,,,,,,,,,,,,,,,,,,,
,,,,setup,8,WindowStyle Hidden hides the PowerShell window from the user,,,,,,,,,,,,,,,,,,,
,,,,setup,8,CREATE_NO_WINDOW flag ensures the process runs silently in the background,,,,,,,,,,,,,,,,,,,
,,,,setup,17-18,Author information looks suspicious,,,,,,,,,,,,,,,,,,,
7,,pypackscate,,,,,,,,,,,,,,,,,,,,,,,
8,,pytorcu,,setup.py,10,Custom install with obfuscated name - attempts to hide malicious behavior behind ae randomly generated class name.,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,exec() with fernet-encrypted payload. Executes dynamically decrypted malicious code (likely a second stage payload).,,,,,,,,,,,,,,,,,,,
