Package,Relative File Path,Line Count
10Cent10,10Cent10-999.0.4.tar.gz::10Cent10-999.0.4/setup.py,28
10Cent10,(No Python files found),
10Cent11,10Cent11-999.0.4.tar.gz::10Cent11-999.0.4/setup.py,28
10Cent11,(No Python files found),
11cent,11Cent-999.0.0.tar.gz::11Cent-999.0.0/setup.py,25
11cent,11Cent-999.0.1.tar.gz::11Cent-999.0.1/setup.py,33
11cent,11Cent-999.0.2.tar.gz::11Cent-999.0.2/setup.py,33
11cent,11Cent-999.0.3.tar.gz::11Cent-999.0.3/setup.py,49
11cent,11Cent-999.0.4.tar.gz::11Cent-999.0.4/setup.py,49
11cent,(No Python files found),
123bla,(No Python files found),
12cent,12Cent-999.0.0.tar.gz::12Cent-999.0.0/setup.py,49
12cent,12Cent-999.0.1.tar.gz::12Cent-999.0.1/setup.py,71
12cent,(No Python files found),
1337c,1337c-4.4.7.tar.gz::1337c-4.4.7/__init__.py,4
1337c,1337c-4.4.7.tar.gz::1337c-4.4.7/setup.py,34
1337c,(No Python files found),
1337test,1337test-1.tar.gz::1337test-1/1337test/__init__.py,3
1337test,1337test-1.tar.gz::1337test-1/1337test/src_file.py,92
1337test,1337test-1.tar.gz::1337test-1/setup.py,29
1337test,(No Python files found),
1337z,1337z-4.4.7.tar.gz::1337z-4.4.7/__init__.py,4
1337z,1337z-4.4.7.tar.gz::1337z-4.4.7/setup.py,34
1337z,(No Python files found),
13cent,13Cent-999.0.1.tar.gz::13Cent-999.0.1/setup.py,71
13cent,13Cent-999.0.2.tar.gz::13Cent-999.0.2/setup.py,79
13cent,(No Python files found),
14cent,14Cent-999.0.1.tar.gz::14Cent-999.0.1/setup.py,79
14cent,(No Python files found),
15cent,15Cent-999.0.1.tar.gz::15Cent-999.0.1/setup.py,70
15cent,(No Python files found),
16cent,16Cent-999.0.1.tar.gz::16Cent-999.0.1/setup.py,36
16cent,(No Python files found),
18923aa,18923aa-4.96.tar.gz::18923aa-4.96/18923aa/__init__.py,26
18923aa,18923aa-4.96.tar.gz::18923aa-4.96/setup.py,46
18923aa,(No Python files found),
191239aa,191239aa-10.87.tar.gz::191239aa-10.87/191239aa/__init__.py,26
191239aa,191239aa-10.87.tar.gz::191239aa-10.87/setup.py,46
191239aa,(No Python files found),
1923tsl1,1923tsl1-5.40.tar.gz::1923tsl1-5.40/1923tsl1/__init__.py,26
1923tsl1,1923tsl1-5.40.tar.gz::1923tsl1-5.40/setup.py,46
1923tsl1,(No Python files found),
1inch,1inch-8.6.tar.gz::1inch-8.6/1inch/__init__.py,2
1inch,1inch-8.6.tar.gz::1inch-8.6/setup.py,23
1inch,1inch-8.7.tar.gz::1inch-8.7/1inch/__init__.py,2
1inch,1inch-8.7.tar.gz::1inch-8.7/setup.py,23
1inch,1inch-8.9.tar.gz::1inch-8.9/1inch/__init__.py,2
1inch,1inch-8.9.tar.gz::1inch-8.9/setup.py,29
1inch,(No Python files found),
2022-requests,2022-requests-3.0.0.tar.gz::2022-requests-3.0.0/requests/__init__.py,180
2022-requests,2022-requests-3.0.0.tar.gz::2022-requests-3.0.0/requests/__version__.py,14
2022-requests,2022-requests-3.0.0.tar.gz::2022-requests-3.0.0/requests/_internal_utils.py,48
2022-requests,2022-requests-3.0.0.tar.gz::2022-requests-3.0.0/requests/adapters.py,584
2022-requests,2022-requests-3.0.0.tar.gz::2022-requests-3.0.0/requests/api.py,157
2022-requests,2022-requests-3.0.0.tar.gz::2022-requests-3.0.0/requests/auth.py,315
2022-requests,2022-requests-3.0.0.tar.gz::2022-requests-3.0.0/requests/certs.py,17
2022-requests,2022-requests-3.0.0.tar.gz::2022-requests-3.0.0/requests/compat.py,79
2022-requests,2022-requests-3.0.0.tar.gz::2022-requests-3.0.0/requests/cookies.py,561
2022-requests,2022-requests-3.0.0.tar.gz::2022-requests-3.0.0/requests/exceptions.py,141
2022-requests,2022-requests-3.0.0.tar.gz::2022-requests-3.0.0/requests/help.py,134
2022-requests,2022-requests-3.0.0.tar.gz::2022-requests-3.0.0/requests/hooks.py,33
2022-requests,2022-requests-3.0.0.tar.gz::2022-requests-3.0.0/requests/models.py,1034
2022-requests,2022-requests-3.0.0.tar.gz::2022-requests-3.0.0/requests/packages.py,28
2022-requests,2022-requests-3.0.0.tar.gz::2022-requests-3.0.0/requests/sessions.py,831
2022-requests,2022-requests-3.0.0.tar.gz::2022-requests-3.0.0/requests/status_codes.py,128
2022-requests,2022-requests-3.0.0.tar.gz::2022-requests-3.0.0/requests/structures.py,99
2022-requests,2022-requests-3.0.0.tar.gz::2022-requests-3.0.0/requests/utils.py,1086
